,countryiso3code,date,value,indicator.value,country.value
0,AFG,2017,20191760000.0587,GDP (current US$),Afghanistan
1,AFG,2016,19362642266.6484,GDP (current US$),Afghanistan
2,AFG,2015,19907111418.9938,GDP (current US$),Afghanistan
3,AFG,2014,20484885119.7348,GDP (current US$),Afghanistan
4,AFG,2013,20561069558.2152,GDP (current US$),Afghanistan
5,AFG,2012,20001598505.7042,GDP (current US$),Afghanistan
6,AFG,2011,17804292964.1045,GDP (current US$),Afghanistan
7,AFG,2010,15856574731.4411,GDP (current US$),Afghanistan
8,AFG,2009,12439087076.7667,GDP (current US$),Afghanistan
9,AFG,2008,10109225813.6696,GDP (current US$),Afghanistan
10,AFG,2007,9747879531.86311,GDP (current US$),Afghanistan
11,AFG,2006,6971285594.68013,GDP (current US$),Afghanistan
12,AFG,2005,6209137624.77181,GDP (current US$),Afghanistan
13,AFG,2004,5226778808.89209,GDP (current US$),Afghanistan
14,AFG,2003,4515558808.10994,GDP (current US$),Afghanistan
15,AFG,2002,4055179566.34981,GDP (current US$),Afghanistan
16,AFG,2001,,GDP (current US$),Afghanistan
17,AFG,2000,,GDP (current US$),Afghanistan
18,AFG,1999,,GDP (current US$),Afghanistan
19,AFG,1998,,GDP (current US$),Afghanistan
20,AFG,1997,,GDP (current US$),Afghanistan
21,AFG,1996,,GDP (current US$),Afghanistan
22,AFG,1995,,GDP (current US$),Afghanistan
23,AFG,1994,,GDP (current US$),Afghanistan
24,AFG,1993,,GDP (current US$),Afghanistan
25,AFG,1992,,GDP (current US$),Afghanistan
26,AFG,1991,,GDP (current US$),Afghanistan
27,AFG,1990,,GDP (current US$),Afghanistan
28,AFG,1989,,GDP (current US$),Afghanistan
29,AFG,1988,,GDP (current US$),Afghanistan
30,AFG,1987,,GDP (current US$),Afghanistan
31,AFG,1986,,GDP (current US$),Afghanistan
32,ALB,2017,13019693450.8816,GDP (current US$),Albania
33,ALB,2016,11861200797.4707,GDP (current US$),Albania
34,ALB,2015,11386846319.1589,GDP (current US$),Albania
35,ALB,2014,13228144008.3428,GDP (current US$),Albania
36,ALB,2013,12776217194.7928,GDP (current US$),Albania
37,ALB,2012,12319830252.4768,GDP (current US$),Albania
38,ALB,2011,12890765324.2256,GDP (current US$),Albania
39,ALB,2010,11926928505.5231,GDP (current US$),Albania
40,ALB,2009,12044223352.5413,GDP (current US$),Albania
41,ALB,2008,12881354103.8398,GDP (current US$),Albania
42,ALB,2007,10677321490.3807,GDP (current US$),Albania
43,ALB,2006,8896073938.31407,GDP (current US$),Albania
44,ALB,2005,8052075642.10781,GDP (current US$),Albania
45,ALB,2004,7184681398.5698,GDP (current US$),Albania
46,ALB,2003,5611492282.86582,GDP (current US$),Albania
