,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Afghanistan,-0.10982404809008761,-0.019618648823483065,0.04689903123886543,0.016850930994054856,-0.06799081780350962,-0.059789047317923415,0.04105056716234302,0.027199203959044314
Albania,-0.010262810312670534,0.014441171638347846,0.0016312770204542396,-0.00020900086266017668,-0.009148866850338338,0.0157817777583706,0.021173243775013263,-0.022208401540612693
Algeria,0.018589075992413762,0.029774934667496627,-0.035675221459704774,-0.03940481547577007,0.017131941659643834,0.03058573305218578,-0.028891192238320186,-0.04991646509011911
Antigua and Barbuda,0.02769513883291704,0.006861185493183449,-0.01540602230323076,-0.0048449446559736846,0.031858579402906775,0.009435633484453013,-0.015411065363966907,-0.003906529959237859
Argentina,0.022035707250784266,0.014026052764513443,0.006932182726179109,0.0019925376781768788,0.021438528566423115,0.014498295424663916,0.0014567612501141373,0.004153395649897513
Armenia,0.01121604703840813,0.007786677434912814,0.04827221617384242,0.08674690178409619,0.009814440581719586,0.013293986459574494,0.11258663410113989,0.04850855200996861
Aruba,0.03139465899488567,0.030478843993783675,0.049188296908882885,0.07006075778742715,0.02968469963953125,0.03461025848745646,0.04047930678266297,0.08268643403812422
Australia,-0.023050014531963283,-0.034216556337929825,-0.005645705075804011,0.012116888541227675,-0.019373529452945182,-0.03434513687939467,-0.005977264833357623,0.013207070367689755
Austria,-0.024267910129238075,-0.03941433705749969,0.0029319718549309513,-0.004885427358871561,-0.02372351686165539,-0.03933626682870741,0.001493552346002298,-0.004015504563314552
Azerbaijan,0.001570909519643792,0.01612924698689743,-0.01686995093663662,-0.05434746232378215,0.012397191689809125,0.01434323863686078,-0.026204380607252428,-0.05374939502608883
"Bahamas, The",-0.05432594819012417,-0.06408686607662406,0.06976691075734545,0.15460517413319064,-0.057137447278347075,-0.0543928327482028,0.10116868822727311,0.1221080022085687
Bahrain,-0.025571157739468345,-0.021650732406460826,0.01668615008754124,-0.003395174337683407,-0.03411195712466208,-0.01529474876586082,0.009825116451608716,0.010946781448285488
Bangladesh,0.0806485831696528,0.033255593312151985,0.03180767050435352,0.06385081172359613,0.06741323893278925,0.04818334457608392,0.03439447715964949,0.055718466926736814
Barbados,0.007292967926110507,-0.02142011394862907,0.06471889545601117,0.044033372363316295,0.012036161447829435,-0.02343995110883641,0.06208491798615631,0.03344239916686123
