,gdp_af_in_pr,gdp_af_in_vl,gdp_af_ex_pr,gdp_af_ex_vl,gdp_af_in_pr2,gdp_af_in_vl2,gdp_af_ex_pr2,gdp_af_ex_vl2,pop_af_in_pr,pop_af_in_vl,pop_af_ex_pr,pop_af_ex_vl,pop_af_in_pr2,pop_af_in_vl2,pop_af_ex_pr2,pop_af_ex_vl2
Afghanistan,-0.023347319362367273,0.005249166519899992,0.03496690880640055,0.04269080288386906,-0.008742755118153544,-0.008132720633594392,0.037659490445453005,0.04081705094056329,-0.07171472176126904,-0.004859870416347367,0.04917267279741398,0.03980130335322617,-0.038859097838490314,-0.035297133005718115,0.04916757024712224,0.04248488047725014
Albania,-0.011896560946995812,0.0004324592289839931,0.0008230003480880606,-0.033216692972944585,-0.013109464598280251,0.0007259123847705557,0.0100218260736344,-0.03644878525364738,-0.024518242965694013,0.004430147778283715,-0.0019241202740215013,-0.031439293322765544,-0.022933870265986093,0.0036847060744532962,0.012450385721914084,-0.04247516464004973
Algeria,-0.01194246185148765,0.011010966717687587,-0.007044108934719846,-0.00904991362667207,-0.011609121361700683,0.010209068505990215,-0.007485542453018807,-0.011134468971597923,-0.006760491920052055,0.01951756937000568,-0.027621736969381645,-0.025709935337506953,-0.005614128099590605,0.018129223551324094,-0.020843921185859985,-0.03557637337776845
Antigua and Barbuda,0.006064607817162681,0.0059851989035207,0.014522148634860992,0.03364273368563591,0.00935798333008472,0.004514556723596669,0.014899776856703403,0.03145970120514043,0.020384894663230842,0.016474484906466868,-0.004006981648014167,0.02405035414037037,0.028793417477530076,0.013140978430907354,0.0008780071236965364,0.018270969361745173
Argentina,0.026484657994365026,0.029975181600064148,0.00048140217113340955,0.0033868810625424404,0.032058952115863064,0.024188840909101852,0.00038940710762384813,0.0022812266487684564,0.04054560460114666,0.03991194714090559,0.0049560249167542834,0.0043053617218912375,0.04492587556654928,0.035332923240677404,0.001798096634620672,0.004325463736664126
Armenia,0.006809334566855246,0.019850936716066834,0.014400591294043126,0.033020776099923786,0.010216846189322545,0.017392926326944752,0.035450399558280866,0.019652510376905238,0.017652742757832268,0.0451056022311409,0.04136327897736407,0.04149928672088063,0.024604979514365598,0.04196641136118936,0.07835248679036755,0.02807499833830696
Aruba,-0.0072374080427095476,-0.02233194523857647,0.020534790594580504,0.06007769395798473,-0.011641007406374854,-0.017300967069381768,0.02419830278498265,0.05381696922894815,-0.0022815176489137767,-0.021745771927217585,0.03657943345131331,0.07435411532234723,-0.006579751771515654,-0.017704447212310282,0.03338077470542251,0.0778740783388802
Australia,-0.024354223867779818,-0.02490943146891312,-0.006431502419490068,0.007138936705063641,-0.023181993292544997,-0.025168533893834496,-0.007994933444104181,0.00738419220509603,-0.032130402916510196,-0.030748423469816728,-0.007835844743139628,0.01153387722085158,-0.03062699939075058,-0.030784467785022862,-0.009310266730040937,0.012266730911625546
Austria,-0.017938823606671626,-0.021762428277763687,0.0016299089511259504,0.001288200990383121,-0.020010816222174356,-0.019479231284771095,0.002005749968975173,0.0007167913688958837,-0.023859445739418714,-0.027860384661056815,0.0010137405686241813,-0.0003923380287870298,-0.025380028153368667,-0.025802210198390053,0.0025083448344808824,-0.0019439006666928259
Azerbaijan,-0.00643949340319423,-0.005051122794634362,-0.006269035817285448,-0.01911785714872684,-0.0036204816520624445,-0.00300405146324459,-0.010437950530157933,-0.017421420635611667,-0.011129465514098786,0.002340648750704959,-0.0161459355436972,-0.03785185015302025,-0.004669583651255062,0.002817475281513559,-0.023680011053998373,-0.0402234605804359
"Bahamas, The",-0.0037245271469044682,-0.015357713340718846,0.02630692954105225,0.07577756625744812,0.00018526546262878502,-0.011434636616617791,0.041620977115819184,0.05691700138877285,-0.006343673904902017,-0.03503897492043166,0.05785575771430878,0.12956241312048958,0.00044781756123679487,-0.025979981729657414,0.0806236468475845,0.10154228360706426
Bahrain,-0.007725756055660668,-0.006775723181263979,0.005253974563849648,-0.0008443291008260044,-0.010925515632347354,-0.004960633011833994,0.003564500425510356,0.0037738502564735087,-0.027146659864661662,-0.02915923916249117,0.011419836971555165,-0.00043660725557325244,-0.03573060572399393,-0.022299148055952383,0.006853256542648568,0.008780423179510775
Bangladesh,0.028975378450522626,0.016831584378785604,0.010024801312089786,0.0241375904495622,0.02861276314674191,0.01888576812921233,0.012627853980400132,0.01903108429449746,0.06985885085434337,0.030510025911082074,0.026475834256668034,0.05891942466505062,0.06470677370250895,0.03928437924087181,0.030608575683463996,0.04896680507636762
Barbados,0.008969044410882176,-0.01504815629599293,0.036085002918233446,0.005130315197351259,0.011597415787027037,-0.015375384311872785,0.032914580274672756,0.005696772385276379,0.009655527070368552,-0.026168837264411465,0.06624677578918814,0.019604413317534257,0.015189824709892606,-0.02600224364481838,0.05964710916353649,0.019713540419387734
Belarus,0.017752222894426038,0.022247761919409133,-0.02652741718512145,-0.036862175413345084,0.019189392475603254,0.019555232001794216,-0.033898052569113,-0.03149654589159157,0.04886422479453538,0.04893714142914815,-0.027636968687395888,-0.03332473678740271,0.04812258037975864,0.04804229205315178,-0.035783350282573914,-0.02971306330003903
Belgium,0.0014404081438424722,0.013427228453244025,-0.00689835870591438,0.0033484042548734753,0.00529337683441334,0.009566235901979657,-0.008253883318249947,0.001940351676111958,0.004384148983340321,0.026209916270441534,-0.016219196017062912,0.01047008715065077,0.011608537052139186,0.02002843413197194,-0.016779160789932135,0.006720581664918224
Belgium-Luxembourg,0.007190954847791902,-0.01375389973816714,,,0.004447629764878765,-0.009320732678207242,,,0.006904940494631102,-0.015851477121621407,,,0.004096474551605429,-0.011304533841898888,,
Belize,0.004854324900471106,-0.011293171570124135,0.02003843488012663,0.02333244596653023,0.0104427990942977,-0.010917731608979731,0.0222204862174117,0.022134534067918436,-0.0050222540084120006,-0.030279413019898265,0.03299706263148033,0.04211041904208609,0.003471602132031661,-0.028452139507875795,0.03572148855394435,0.03945721082407953
Benin,-0.022829383348801812,-0.01666119896239901,0.01600555930182819,-0.0007043933138312938,-0.027207028406102146,-0.017250144090735886,0.016093822219648054,-0.0007610851766798382,-0.032151079781763736,-0.017150537258720965,0.02288772043335542,0.00839683349196358,-0.03231027066882151,-0.021003538128019663,0.0211473261166627,0.005740267971221007
