,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Afghanistan,-0.04140393058415339,-0.004488458933235651,0.03606284513314269,0.030888620282487116,-0.023336213914046926,-0.02116858857797774,0.03750440454992757,0.03293910252437953
Albania,-0.0060571412221768275,0.005703296305518193,0.0004140085828225315,-0.020625130666416802,-0.00580201076635976,0.006509777841185948,0.00898190352427999,-0.02881324072175879
Algeria,0.0066905512666658815,0.013130073369712766,-0.012449846993523592,-0.00865357842395517,0.0035947641466469293,0.015411721116135525,-0.008884251206076858,-0.014714273149123172
Antigua and Barbuda,0.010238837585503964,0.005593741021294551,0.012038558788247276,0.025776877553054963,0.012458187213054894,0.00561313975974775,0.012575657718639064,0.024955085354274178
Argentina,0.012844215950862697,0.009506417194867415,0.00046272468864747354,-0.0005681144872039337,0.014190426963864055,0.008051305801675825,-0.0017096941017655598,0.00014337069271599836
Armenia,0.004830088810166878,0.005739059639584327,0.012178302885703396,0.017930200494045635,0.00507177092194467,0.0071186318376464264,0.029853046335791122,0.009387974203799374
Aruba,0.012577920071249606,0.01290434109923062,0.028393005841820956,0.045369595428099624,0.011342452614270363,0.014436576534727939,0.024892335825222236,0.04978088544132735
Australia,-0.018439885148383354,-0.02235388984845773,-0.0059156465035116925,0.0034201873788287204,-0.01678858363507605,-0.022718966664843628,-0.007673417375021521,0.005296428202248693
Austria,-0.02138490249455354,-0.03547893920882282,0.0031273637910807692,0.00017285126497940275,-0.022559964774543067,-0.033191815836822396,0.002486968744736404,0.0003661009914291809
Azerbaijan,-0.002393467961177495,0.0018205046691556282,-0.00503282282902699,-0.014605966644700165,7.712185418969324e-05,0.0025600533386433487,-0.0075745692969222895,-0.017126370462930696
"Bahamas, The",-0.01957872005339656,-0.025637777959451862,0.023739518715981633,0.05355908397051334,-0.020808323721997677,-0.020215799725817545,0.031008480677589517,0.043722563017416595
Bahrain,-0.008137564093796781,-0.00481212244152314,0.008337817878756466,0.007177303303574175,-0.010248345025152721,-0.0033155575182035935,0.0069540024672995054,0.010048172654871264
Bangladesh,0.03589762780014459,0.02056241828069561,0.01467296073909337,0.02494024908054546,0.032041999746798853,0.024918660856507728,0.015609605198588842,0.021977194879902906
Barbados,0.005646406015392164,-0.020481959405453914,0.03259132699576169,0.006455111325965328,0.005165763899152815,-0.0199740231383762,0.028237319470373074,0.0069571480110268875
