	trade - intersection	population - intersection
0	Palestine	St. Kitts and Nevis
1	Bahamas	Macao SAR, China
2	China, mainland	St. Vincent and the Grenadines
3	Bouvet Island	Kosovo
4	United States Virgin Islands	Congo, Dem. Rep.
5	Cook Islands	Iran, Islamic Rep.
6	Slovakia	West Bank and Gaza
7	Lao People's Democratic Republic	Gambia, The
8	Johnston Island	St. Martin (French part)
9	Saint Pierre and Miquelon	Virgin Islands (U.S.)
10	Niue	Venezuela, RB
11	Micronesia (Federated States of)	United States
12	Saint Kitts and Nevis	Congo, Rep.
13	Viet Nam	Vietnam
14	Belgium-Luxembourg	Hong Kong SAR, China
15	Pitcairn Islands	Czech Republic
16	Netherlands Antilles (former)	Micronesia, Fed. Sts.
17	Wallis and Futuna Islands	Bolivia
18	China, Taiwan Province of	Sint Maarten (Dutch part)
19	Republic of Korea	Kyrgyz Republic
20	Kyrgyzstan	Korea, Dem. People’s Rep.
21	Ethiopia PDR	St. Lucia
22	Western Sahara	Lao PDR
23	Yemen	Isle of Man
24	Côte d'Ivoire	Curacao
25	Christmas Island	Tanzania
26	Falkland Islands (Malvinas)	Cote d'Ivoire
27	Congo	Northern Mariana Islands
28	Saint Helena, Ascension and Tristan da Cunha	Yemen, Rep.
29	Réunion	Slovak Republic
30	China, Hong Kong SAR	Channel Islands
31	British Indian Ocean Territory	Egypt, Arab Rep.
32	United Republic of Tanzania	Moldova
33	Egypt	China
34	Bolivia (Plurinational State of)	Bahamas, The
35	Democratic People's Republic of Korea	Korea, Rep.
36	Venezuela (Bolivarian Republic of)	
37	Democratic Republic of the Congo	
38	Midway Island	
39	Serbia and Montenegro	
40	Gambia	
41	Czechia	
42	Martinique	
43	Republic of Moldova	
44	Iran (Islamic Republic of)	
45	Sudan (former)	
46	Anguilla	
47	Cocos (Keeling) Islands	
48	Montserrat	
49	French Guiana	
50	Yugoslav SFR	
51	Czechoslovakia	
52	Holy See	
53	Saint Lucia	
54	Saint Vincent and the Grenadines	
55	United States of America	
56	China, Macao SAR	
57	Mayotte	
58	USSR	
59	US Minor Is.	
60	Tokelau	
61	Guadeloupe	
62	Unspecified Area	
